Title	Status	Link	Description	Assignees	Labels
ES|QL: Lookup on more flexible criteria than single exact match	Open	https://github.com/elastic/roadmap/issues/225	"**Value Proposition**

Lookup Join introduced the ability to do SQL-style LEFT OUTER JOINs in ES|QL. The initial release of Lookup Join relies on a common field name between the left index (from the source command) and the right index (the lookup index), and an exact match of the field values. This satisfies many use cases but more flexibility is needed for other use cases. Users need to match ..."		
ES|QL: Lookup Join on wildcard match	Open	https://github.com/elastic/roadmap/issues/224	"**Value Proposition**

Lookup Join introduced the ability to do SQL-style LEFT OUTER JOINs in ES|QL. The initial release of Lookup Join relies on a common field name between the left index (from the source command) and the right index (the lookup index), and an exact match of the field values. This satisfies many use cases but more flexibility is needed for other use cases. Some users need to m..."		
Adding Serverless regions: 4 Azure	Open	https://github.com/elastic/roadmap/issues/223	"**What the feature is and who it’s for**
We will be adding 4 more Serverless regions for customers to create Serverless projects to a region closer to them. 

**Value proposition**
With Elastic Cloud Serverless, customers can now deploy closer to your users and data — reducing latency, supporting data residency and compliance requirements, and simplifying multicloud operations. Whether you're b..."		
:warning:  :warning:  NOTE - Timeline subject to change without prior notice	Open	https://github.com/elastic/roadmap/issues/222	Welcome to our product roadmap! We're excited to share a glimpse into what we're working on at Elastic and where we're headed. It is worth noting that this roadmap is a living document and is subject to change and often does, so please keep this in mind.		
Automatic Import Updates	Open	https://github.com/elastic/roadmap/issues/221	"**What the feature is (as Title)** Automatic Import Updates

**Value proposition** Backend changes to improve Automatic Import with reliability, scalability, better agentic ai workflows, etc. New updates will allow adding multiple data streams, editing/versioning of automatic import created integrations, and creating integrations from existing index.

**Expected outcome** This will allow for be..."		
[GA] Attack Discovery API	Open	https://github.com/elastic/roadmap/issues/220	"**What the feature is**: Attack Discovery API

**Value proposition**: Attack Discovery can now be triggered programmatically, via any automation platform or tooling that users wish. This API also includes the ability to update workflow state, sharing options, and much more, giving users the freedom to automate any of this functionality. 

**Expected outcome**: Whilst users enjoy leveraging Atta..."		
Permissions for Detection Engineers with extended granularity	Open	https://github.com/elastic/roadmap/issues/219	"**Value proposition**
Allows admin to setup roles with different levels of privilege for managing Security Rules, Exceptions and Alerts to achieve the principle of the least privilege.

**Expected outcome**
New permissions available for users to setup desired roles.
New prebuilt roles utilizing new privileges combinations.

**Key user stories / use cases**
As an admin, I want to allow Analysts ..."		
AI Agent monitoring and evaluation	Open	https://github.com/elastic/roadmap/issues/218	"**What we are building*
This provides a solution to effectively monitor and evaluate AI Agents created using Elastic Agent Builder. 
- Visualize traces of the agent conversation including tool calls, search results, and generated outputs 
- Receive metrics on the performance of retrieval steps in the Agent based on LLM-as-a-judge evaluators 
- View key Agent metrics like groundedness, factualit..."		
User-friendly multimodal image search support	Open	https://github.com/elastic/roadmap/issues/217	"**What the feature is**

Our aim is to make image search as easy as `semantic_text` made semantic search. In other words, users don't need to implement all of the plumbing necessary to search on images, but can instead get up and running in hours.

**Value proposition**

Searching on images are high-value actions, but implementation is difficult. By making it easier, users can build highly enga..."		
Remove limitations on full text functions in ES|QL	Open	https://github.com/elastic/roadmap/issues/216	"**What the feature is**

Full text functions cannot be currently used in ES|QL after pipeline breakers or on runtime columns. We will lift both of these restrictions.

**Value proposition**

This change will reduce user friction and enable advanced search capabilities not available in query DSL via search on runtime columns. By allowing for full text functions after pipeline breakers, we enable..."		
ES|QL FORK command	Open	https://github.com/elastic/roadmap/issues/215	"**What the feature is**

The `FORK` processing command creates multiple execution branches to operate on the same input data and combines the results in a single output table.

In this quarter, we aim to move `FORK` from tech preview to GA.

**Value proposition**

Users can run multiple queries, differentiate, mutate, and merge them together. This can enable such search use cases such as [hybri..."		
Highlight support in ES|QL	Open	https://github.com/elastic/roadmap/issues/214	"**What the feature is**

Support for highlighting in ES|QL using the unified highlighter.

**Value proposition**

Retrieve the best-matching highlighted snippets from one or more fields in your search results so you can show users where the query matches are.

**Expected outcome**

From within an ES|QL query, users can request highlighting of their matches, and see those highlights alongside th..."		
Terraform Elasticstack - Better fleet integration, Dashboards as code tech preview	Open	https://github.com/elastic/roadmap/issues/213	"**Terrafrom Fleet integration, Dashboards as code tech-preview**
Recent improvements to the Elastic Stack and Elastic Cloud Terraform providers introduce advanced Infrastructure-as-Code capabilities for the latest stack and cloud features. These enhancements give administrators increased control and flexibility when managing Elastic environments with Terraform.

**Value proposition**
This relea..."		
Connect to external MCP with Agent Builder (Tech Preview)	Closed	https://github.com/elastic/roadmap/issues/212	"**Value proposition**
Allow AI Agents created in Elastic to access, interact, take action in external systems with connection to external MCP servers. 
Create new connections, import tools, create Agents with combination of Elastic built-in and custom tools and imported tools to have agents utilize data and act across systems. 

Example Use Case:
- Connect to PagerDuty MCP to get recent inciden..."		
Script library and runscript response action	Open	https://github.com/elastic/roadmap/issues/211	"**What the feature is (as Title)**

**Value proposition**
Elastic Security introduces a new response action that allows security teams to execute scripts from a centralized Script Library during investigations or as automated responses. It enables fast, consistent, and repeatable actions without relying on ad-hoc commands.

**Expected outcome**
- Execute approved scripts from a managed Script L..."		
Streams: AI-Powered Log Ingestion and Analysis	Closed	https://github.com/elastic/roadmap/issues/209	"**Value proposition**

Site Reliability Engineers (SREs) currently struggle with log data that is too noisy, expensive, and unstructured to serve as a primary signal for troubleshooting. Streams addresses this by using AI to transform raw logs into actionable intelligence, automating the heavy lifting of data partitioning, parsing, and retention management. This empowers teams to pinpoint the r..."		
Improved Search and Filtering for the Case List	Closed	https://github.com/elastic/roadmap/issues/208	"This feature improves the search and filtering capabilities on the Case list page. It will expand the quick search to include more relevant case data beyond just the title and description, such as text from comments. This update will also introduce a time-range filter, allowing users to find cases created within specific timeframes (e.g., ""last 7 days"" or an absolute date range).

**Value propo..."		
More Advanced Insights for Increased Correlations	Open	https://github.com/elastic/roadmap/issues/207	"## More Advanced Insights for Increased Correlations

### Value proposition

To enhance the alert and attack investigation experience, we will evolve our capabilities to provide more advanced insights for correlating related information. This includes cross-referencing information such as related cases and alerts, as well as related attacks, entities, and chats. By correlating with other critic..."		
User Defined Alert Templates	Open	https://github.com/elastic/roadmap/issues/206	"## User Defined Alert Templates

### Value proposition

Users currently spend time customizing their alert experience for different use cases by adjusting page controls, visualizations, table columns, and event table grouping. However, these configurations are only saved locally, which prevents sharing them with team members.

This feature will solve this limitation by allowing users to save th..."		
